Date,Count,State,TotalSamples,Negative,Positive
11-Apr,5,Punjab,3909,3249,158
12-Apr,6,Punjab,4281,3590,170
13-Apr,7,Punjab,4480,3858,176
14-Apr,8,Punjab,4844,4047,184
15-Apr,9,Punjab,5193,4404,186
16-Apr,10,Punjab,5524,4727,197
17-Apr,11,Punjab,5988,5113,211
18-Apr,12,Punjab,6167,5354,234
19-Apr,13,Punjab,6607,5949,244
20-Apr,14,Punjab,6797,6273,245
21-Apr,15,Punjab,7355,6769,251
22-Apr,16,Punjab,7887,7100,257
23-Apr,17,Punjab,8757,7433,283
24-Apr,18,Punjab,10611,8310,298
25-Apr,19,Punjab,13270,9392,308
26-Apr,20,Punjab,14317,10497,322
27-Apr,21,Punjab,15516,12333,330
28-Apr,22,Punjab,17021,13966,342
29-Apr,23,Punjab,18670,15690,375
30-Apr,24,Punjab,21205,17286,480
1-May,25,Punjab,23176,18222,585
2-May,26,Punjab,24868,19316,772
3-May,27,Punjab,26439,20197,1102
4-May,28,Punjab,28545,21295,1232
5-May,29,Punjab,30199,23352,1451
6-May,30,Punjab,32060,24303,1526
7-May,31,Punjab,34701,28933,1644
8-May,32,Punjab,37950,31219,1731
9-May,33,Punjab,39462,33639,1762
10-May,34,Punjab,40962,35293,1823
11-May,35,Punjab,42306,37993,1877
12-May,36,Punjab,43999,39060,1914
13-May,37,Punjab,46026,40637,1924
14-May,38,Punjab,47408,42425,1935
15-May,39,Punjab,49301,44319,1932
16-May,40,Punjab,50613,46028,1946
17-May,41,Punjab,51812,47484,1964
18-May,42,Punjab,52955,48813,1980
19-May,43,Punjab,55634,50070,2002
20-May,44,Punjab,57737,51956,2005
21-May,45,Punjab,59618,53871,2028
22-May,46,Punjab,62399,55777,2029
23-May,47,Punjab,63567,57899,2045
24-May,48,Punjab,66142,60114,2060
25-May,49,Punjab,67213,62686,2081
26-May,50,Punjab,69818,64160,2106
27-May,51,Punjab,72468,66417,2139
28-May,52,Punjab,72468,67325,2158
29-May,53,Punjab,81021,,2197
30-May,54,Punjab,84497,,2233
31-May,55,Punjab,87852,,2263
1-Jun,56,Punjab,91113,,2301
2-Jun,57,Punjab,96329,,2342
3-Jun,58,Punjab,101036,,2376
4-Jun,59,Punjab,106933,,2415
5-Jun,60,Punjab,113542,,2461
6-Jun,61,Punjab,115974,,2515
7-Jun,62,Punjab,124266,,2608
5-Apr,1,Rajasthan,12279,11439,260
7-Apr,2,Rajasthan,17638,16401,363
8-Apr,3,Rajasthan,17638,16401,363
9-Apr,4,Rajasthan,19107,17851,463
10-Apr,5,Rajasthan,22349,20698,561
11-Apr,6,Rajasthan,24857,22583,678
12-Apr,7,Rajasthan,28505,25105,796
13-Apr,8,Rajasthan,31804,28657,847
14-Apr,9,Rajasthan,34928,29376,1005
15-Apr,10,Rajasthan,37860,31902,1076
16-Apr,11,Rajasthan,40778,33739,1101
17-Apr,12,Rajasthan,42847,36153,1229
18-Apr,13,Rajasthan,47197,39092,1282
19-Apr,14,Rajasthan,51614,43537,1478
20-Apr,15,Rajasthan,57290,47657,1576
21-Apr,16,Rajasthan,61492,54100,1735
22-Apr,17,Rajasthan,66257,58552,1888
23-Apr,18,Rajasthan,69764,63485,1964
24-Apr,19,Rajasthan,74484,68133,2034
25-Apr,20,Rajasthan,78993,71806,2083
26-Apr,21,Rajasthan,82942,75670,2185
27-Apr,22,Rajasthan,87777,80830,2262
28-Apr,23,Rajasthan,92506,85834,2364
29-Apr,24,Rajasthan,97790,90108,2438
30-Apr,25,Rajasthan,103704,,2584
1-May,26,Rajasthan,108543,100277,2666
2-May,27,Rajasthan,113934,104705,2720
3-May,28,Rajasthan,120240,112345,2886
4-May,29,Rajasthan,129258,122513,3061
5-May,30,Rajasthan,134987,128297,3158
6-May,31,Rajasthan,139580,134172,3317
7-May,32,Rajasthan,145510,139830,3427
8-May,33,Rajasthan,152245,146198,3579
9-May,34,Rajasthan,159157,152296,3708
10-May,35,Rajasthan,166424,158830,3814
11-May,36,Rajasthan,176130,168546,3988
12-May,37,Rajasthan,185610,,4126
13-May,38,Rajasthan,194683,186125,4328
14-May,39,Rajasthan,204243,197269,4534
15-May,40,Rajasthan,212317,203770,4747
16-May,41,Rajasthan,221439,213395,4960
17-May,42,Rajasthan,231946,221764,5202
18-May,43,Rajasthan,243476,234165,5375
19-May,44,Rajasthan,254533,244955,5845
20-May,45,Rajasthan,265555,254128,6015
21-May,46,Rajasthan,275974,266687,6227
22-May,47,Rajasthan,287164,277744,6494
23-May,48,Rajasthan,303935,292384,6657
24-May,49,Rajasthan,317067,306209,7028
25-May,50,Rajasthan,327836,318146,7300
26-May,51,Rajasthan,337159,326368,7536
27-May,52,Rajasthan,350600,338611,7816
28-May,53,Rajasthan,365556,351861,8067
29-May,54,Rajasthan,379315,365925,8365
30-May,55,Rajasthan,395490,382315,8617
31-May,56,Rajasthan,409777,396789,8831
1-Jun,57,Rajasthan,425184,411965,9100
2-Jun,58,Rajasthan,440789,428471,9373
3-Jun,59,Rajasthan,454788,440850,9652
4-Jun,60,Rajasthan,467129,451826,9862
5-Jun,61,Rajasthan,480910,465349,10084
6-Jun,62,Rajasthan,494480,478366,10337
7-Jun,63,Rajasthan,506784,491233,10599
4-May,1,Sikkim,170,169,0
5-May,2,Sikkim,181,171,0
6-May,3,Sikkim,189,189,0
7-May,4,Sikkim,216,207,0
8-May,5,Sikkim,216,214,0
9-May,6,Sikkim,219,219,0
10-May,7,Sikkim,219,219,0
11-May,8,Sikkim,219,219,0
12-May,9,Sikkim,348,229,0
13-May,10,Sikkim,439,268,0
14-May,11,Sikkim,579,292,0
15-May,12,Sikkim,348,229,0
16-May,13,Sikkim,840,424,0
17-May,14,Sikkim,947,449,0
18-May,15,Sikkim,1087,536,0
19-May,16,Sikkim,1204,827,0
20-May,17,Sikkim,1342,955,0
22-May,18,Sikkim,1637,1347,0
23-May,19,Sikkim,1707,1398,0
24-May,20,Sikkim,1855,1471,1
25-May,21,Sikkim,2103,1508,1
26-May,22,Sikkim,2255,1508,1
27-May,23,Sikkim,2417,1665,1
28-May,24,Sikkim,2626,1801,1
29-May,25,Sikkim,2759,1880,1
30-May,26,Sikkim,2829,2015,1
31-May,27,Sikkim,2925,2173,1
1-Jun,28,Sikkim,3525,2601,1
2-Jun,29,Sikkim,3788,2857,1
3-Jun,30,Sikkim,4102,3062,2
4-Jun,31,Sikkim,4358,3894,2
5-Jun,32,Sikkim,4761,4143,3
6-Jun,33,Sikkim,5005,4273,3
3-Apr,1,Tamil Nadu,3684,2789,411
8-Apr,2,Tamil Nadu,5305,4414,690
9-Apr,3,Tamil Nadu,7267,5824,834
10-Apr,4,Tamil Nadu,8410,6838,911
11-Apr,5,Tamil Nadu,9842,7779,969
12-Apr,6,Tamil Nadu,10655,,1075
13-Apr,7,Tamil Nadu,12746,,1173
14-Apr,8,Tamil Nadu,19255,13234,1204
15-Apr,9,Tamil Nadu,21994,15210,1242
16-Apr,10,Tamil Nadu,26005,18743,1267
17-Apr,11,Tamil Nadu,29673,21628,1323
18-Apr,12,Tamil Nadu,35036,27192,1372
19-Apr,13,Tamil Nadu,40876,31853,1477
20-Apr,14,Tamil Nadu,46985,38082,1520
21-Apr,15,Tamil Nadu,53045,43582,1596
22-Apr,16,Tamil Nadu,59023,49506,1629
23-Apr,17,Tamil Nadu,65977,56836,1683
24-Apr,18,Tamil Nadu,72403,62596,1755
25-Apr,19,Tamil Nadu,80110,69390,1821
26-Apr,20,Tamil Nadu,87605,77133,1885
27-Apr,21,Tamil Nadu,94781,83021,1937
28-Apr,22,Tamil Nadu,101874,97908,2058
29-Apr,23,Tamil Nadu,109961,105864,2162
30-Apr,24,Tamil Nadu,119748,115761,2323
1-May,25,Tamil Nadu,129363,124852,2526
2-May,26,Tamil Nadu,139490,135698,2757
3-May,27,Tamil Nadu,150107,145520,3023
4-May,28,Tamil Nadu,162970,158558,3550
5-May,29,Tamil Nadu,174828,170174,4058
6-May,30,Tamil Nadu,188241,182541,4829
7-May,31,Tamil Nadu,202436,195831,5409
8-May,32,Tamil Nadu,216416,209495,6009
9-May,33,Tamil Nadu,229670,222576,6535
10-May,34,Tamil Nadu,243037,235157,7204
11-May,35,Tamil Nadu,254899,245562,8002
12-May,36,Tamil Nadu,266687,256720,8718
13-May,37,Tamil Nadu,279467,269758,9227
14-May,38,Tamil Nadu,291432,281001,9674
15-May,39,Tamil Nadu,303104,292045,10108
16-May,40,Tamil Nadu,313639,302523,10585
17-May,41,Tamil Nadu,326720,315019,11224
18-May,42,Tamil Nadu,337841,325546,11760
19-May,43,Tamil Nadu,348174,334839,12448
20-May,44,Tamil Nadu,360068,346311,13191
21-May,45,Tamil Nadu,372532,357898,13967
22-May,46,Tamil Nadu,385185,369929,14735
23-May,47,Tamil Nadu,397340,381216,15512
24-May,48,Tamil Nadu,409615,392690,16277
25-May,49,Tamil Nadu,421450,403762,17082
26-May,50,Tamil Nadu,431739,413455,17728
27-May,51,Tamil Nadu,442970,423775,18545
28-May,52,Tamil Nadu,455216,435279,19372
29-May,53,Tamil Nadu,466550,445668,20246
30-May,54,Tamil Nadu,479155,457405,21184
31-May,55,Tamil Nadu,491962,468940,22333
1-Jun,56,Tamil Nadu,503339,479208,23495
2-Jun,57,Tamil Nadu,514433,489258,24586
3-Jun,58,Tamil Nadu,528534,502173,25872
4-Jun,59,Tamil Nadu,544981,517137,27256
5-Jun,60,Tamil Nadu,560673,535254,28694
6-Jun,61,Tamil Nadu,576695,545896,30152
7-Jun,62,Tamil Nadu,592970,560890,31667
19-Apr,1,Telangana,14962,14104,858
28-Apr,2,Telangana,19063,,1009
29-Apr,3,Telangana,19278,,1016
16-May,4,Telangana,23388,,1551
11-Apr,1,Tripura,337,335,2
15-Apr,2,Tripura,738,,2
16-Apr,3,Tripura,762,760,2
21-Apr,4,Tripura,2604,2602,2
22-Apr,5,Tripura,3215,3123,2
1-May,6,Tripura,4828,4825,3
2-May,7,Tripura,4955,4950,5
3-May,8,Tripura,5162,5157,5
4-May,9,Tripura,5394,5377,17
5-May,10,Tripura,5850,5820,30
6-May,11,Tripura,6228,6185,43
7-May,12,Tripura,6917,6828,89
8-May,13,Tripura,7448,7359,89
9-May,14,Tripura,8340,8221,119
10-May,15,Tripura,9091,8955,136
11-May,16,Tripura,9596,9442,154
12-May,17,Tripura,10344,10189,155
13-May,18,Tripura,11146,10991,155
14-May,19,Tripura,11804,11648,156
15-May,20,Tripura,12561,12405,156
16-May,21,Tripura,13178,13011,167
17-May,22,Tripura,13750,13583,167
18-May,23,Tripura,14286,14119,167
19-May,24,Tripura,15083,14914,169
20-May,25,Tripura,15822,15694,173
21-May,26,Tripura,16873,16610,173
22-May,27,Tripura,17721,17546,175
23-May,28,Tripura,18737,18546,191
24-May,29,Tripura,19278,19537,191
25-May,30,Tripura,20871,20637,198
26-May,31,Tripura,22049,21840,209
27-May,32,Tripura,23264,23032,232
28-May,33,Tripura,24126,23884,242
29-May,34,Tripura,25403,25159,244
30-May,35,Tripura,26376,26105,271
31-May,36,Tripura,27475,27159,316
1-Jun,37,Tripura,28360,27937,423
2-Jun,38,Tripura,29066,28595,471
3-Jun,39,Tripura,30481,29859,622
4-Jun,40,Tripura,31138,30492,646
5-Jun,41,Tripura,32300,31606,694
6-Jun,42,Tripura,33331,32582,749
7-Jun,43,Tripura,35263,34461,802
5-Apr,1,Uttar Pradesh,5255,4796,278
5-Apr,2,Uttar Pradesh,5255,4796,278
9-Apr,3,Uttar Pradesh,8402,7898,410
10-Apr,4,Uttar Pradesh,9332,8798,433
11-Apr,5,Uttar Pradesh,10595,10012,452
12-Apr,6,Uttar Pradesh,11855,11250,483
13-Apr,7,Uttar Pradesh,13287,12542,558
14-Apr,8,Uttar Pradesh,15914,15134,660
15-Apr,9,Uttar Pradesh,19506,18595,727
16-Apr,10,Uttar Pradesh,21384,20374,805
17-Apr,11,Uttar Pradesh,24643,23648,849
18-Apr,12,Uttar Pradesh,28484,27262,974
19-Apr,13,Uttar Pradesh,31767,,1100
20-Apr,14,Uttar Pradesh,34326,32874,1184
21-Apr,15,Uttar Pradesh,37933,36378,1337
22-Apr,16,Uttar Pradesh,42192,40263,1449
23-Apr,17,Uttar Pradesh,45483,43495,1510
24-Apr,18,Uttar Pradesh,53166,51161,1621
25-Apr,19,Uttar Pradesh,56851,54216,1793
26-Apr,20,Uttar Pradesh,61799,58492,1873
27-Apr,21,Uttar Pradesh,67145,64139,1896
28-Apr,22,Uttar Pradesh,70307,67266,2053
29-Apr,23,Uttar Pradesh,73716,70436,2134
30-Apr,24,Uttar Pradesh,78013,74864,2211
1-May,25,Uttar Pradesh,82459,79091,2328
2-May,26,Uttar Pradesh,85729,82356,2487
3-May,27,Uttar Pradesh,95841,91828,2645
4-May,28,Uttar Pradesh,98300,94682,2766
5-May,29,Uttar Pradesh,105234,101389,2880
6-May,30,Uttar Pradesh,109888,106043,2998
7-May,31,Uttar Pradesh,113670,109628,3071
8-May,32,Uttar Pradesh,119688,115646,3214
9-May,33,Uttar Pradesh,124791,120764,3373
10-May,34,Uttar Pradesh,129955,125696,3467
11-May,35,Uttar Pradesh,135760,131293,3573
12-May,36,Uttar Pradesh,140166,135754,3664
13-May,37,Uttar Pradesh,145637,141068,3578
14-May,38,Uttar Pradesh,153139,147755,3902
15-May,39,Uttar Pradesh,159282,153588,4057
16-May,40,Uttar Pradesh,163105,157001,4258
17-May,41,Uttar Pradesh,172219,165832,4464
18-May,42,Uttar Pradesh,176479,170132,4605
19-May,43,Uttar Pradesh,182184,175412,4926
20-May,44,Uttar Pradesh,191164,184209,5175
21-May,45,Uttar Pradesh,206811,199469,5515
22-May,46,Uttar Pradesh,214060,207079,5735
23-May,47,Uttar Pradesh,217867,210864,6017
24-May,48,Uttar Pradesh,229621,222341,6268
25-May,49,Uttar Pradesh,235622,228173,6497
26-May,50,Uttar Pradesh,240588,232290,6724
27-May,51,Uttar Pradesh,240588,239592,6991
28-May,52,Uttar Pradesh,256267,247747,7170
29-May,53,Uttar Pradesh,270920,261911,7445
30-May,54,Uttar Pradesh,279288,270160,7701
31-May,55,Uttar Pradesh,289892,279569,8075
1-Jun,56,Uttar Pradesh,297903,287806,8361
2-Jun,57,Uttar Pradesh,307621,296705,8729
3-Jun,58,Uttar Pradesh,317780,306672,8870
4-Jun,59,Uttar Pradesh,330663,318562,9237
5-Jun,60,Uttar Pradesh,344717,332126,9733
6-Jun,61,Uttar Pradesh,355085,342360,10103
7-Jun,62,Uttar Pradesh,360258,346684,10536
2-Apr,1,Uttarakhand,678,554,7
7-Apr,2,Uttarakhand,1289,1092,32
9-Apr,3,Uttarakhand,1531,1235,35
10-Apr,4,Uttarakhand,1688,1320,35
11-Apr,5,Uttarakhand,1705,1340,35
12-Apr,6,Uttarakhand,1820,1452,35
13-Apr,7,Uttarakhand,1998,1665,35
14-Apr,8,Uttarakhand,2174,1838,35
15-Apr,9,Uttarakhand,2413,2022,37
16-Apr,10,Uttarakhand,2593,2210,37
17-Apr,11,Uttarakhand,2831,2420,40
18-Apr,12,Uttarakhand,3158,2710,42
19-Apr,13,Uttarakhand,3344,3046,44
20-Apr,14,Uttarakhand,3677,3228,46
21-Apr,15,Uttarakhand,4061,3445,46
22-Apr,16,Uttarakhand,4275,3664,46
23-Apr,17,Uttarakhand,4473,3879,47
24-Apr,18,Uttarakhand,4767,4239,48
25-Apr,19,Uttarakhand,5194,4423,48
26-Apr,20,Uttarakhand,5277,4675,50
27-Apr,21,Uttarakhand,5463,4912,51
28-Apr,22,Uttarakhand,5739,5212,52
29-Apr,23,Uttarakhand,6046,5547,54
30-Apr,24,Uttarakhand,6565,6100,57
1-May,25,Uttarakhand,7042,6533,57
2-May,26,Uttarakhand,7369,6786,59
3-May,27,Uttarakhand,7578,6986,60
4-May,28,Uttarakhand,7806,7134,60
5-May,29,Uttarakhand,8060,7357,61
6-May,30,Uttarakhand,8346,7698,61
7-May,31,Uttarakhand,8783,8138,61
8-May,32,Uttarakhand,9116,8485,61
9-May,33,Uttarakhand,9386,8659,67
10-May,34,Uttarakhand,9668,8990,68
11-May,35,Uttarakhand,9915,9151,68
12-May,36,Uttarakhand,10471,9390,68
13-May,37,Uttarakhand,10792,9750,70
14-May,38,Uttarakhand,11294,10157,75
15-May,39,Uttarakhand,12045,10523,79
16-May,40,Uttarakhand,12597,10990,88
17-May,41,Uttarakhand,13212,11316,92
18-May,42,Uttarakhand,13870,11812,93
19-May,43,Uttarakhand,14691,12242,104
20-May,44,Uttarakhand,15503,12945,120
21-May,45,Uttarakhand,16528,13808,132
22-May,46,Uttarakhand,18008,14960,151
23-May,47,Uttarakhand,19248,15757,173
24-May,48,Uttarakhand,20969,16640,293
25-May,49,Uttarakhand,22117,17315,332
26-May,50,Uttarakhand,23076,18193,400
27-May,51,Uttarakhand,23975,18645,438
28-May,52,Uttarakhand,25380,19702,493
29-May,53,Uttarakhand,26951,20636,602
30-May,54,Uttarakhand,28433,21512,727
31-May,55,Uttarakhand,30438,22546,802
1-Jun,56,Uttarakhand,31703,23400,929
2-Jun,57,Uttarakhand,33081,24262,999
3-Jun,58,Uttarakhand,34413,25385,1066
4-Jun,59,Uttarakhand,35117,26093,1145
5-Jun,60,Uttarakhand,35967,27184,1215
6-Jun,61,Uttarakhand,36638,28172,1245
7-Jun,62,Uttarakhand,37166,28945,1341
1-Apr,1,West Bengal,659,568,37
4-Apr,2,West Bengal,1042,,
6-Apr,3,West Bengal,1301,,
7-Apr,4,West Bengal,1487,,
9-Apr,5,West Bengal,1889,,
10-Apr,6,West Bengal,2095,,
11-Apr,7,West Bengal,2286,,126
12-Apr,8,West Bengal,2523,,134
13-Apr,9,West Bengal,2793,,152
14-Apr,10,West Bengal,3081,,190
15-Apr,11,West Bengal,3470,,213
16-Apr,12,West Bengal,3811,,231
17-Apr,13,West Bengal,4212,,255
18-Apr,14,West Bengal,4630,,287
19-Apr,15,West Bengal,5045,,310
20-Apr,16,West Bengal,5469,,339
21-Apr,17,West Bengal,6182,,392
22-Apr,18,West Bengal,7037,,423
23-Apr,19,West Bengal,7990,,456
24-Apr,20,West Bengal,8933,,514
25-Apr,21,West Bengal,9880,,571
26-Apr,22,West Bengal,10893,,611
27-Apr,23,West Bengal,12043,,649
28-Apr,24,West Bengal,13223,,697
29-Apr,25,West Bengal,14620,,725
30-Apr,26,West Bengal,16525,,758
1-May,27,West Bengal,18566,,
2-May,28,West Bengal,20976,,795
3-May,29,West Bengal,22915,,922
4-May,30,West Bengal,25116,,1259
5-May,31,West Bengal,27571,,1344
6-May,32,West Bengal,30141,,1456
7-May,33,West Bengal,32752,,1548
8-May,34,West Bengal,35767,,1678
9-May,35,West Bengal,39368,,1786
10-May,36,West Bengal,43414,,1939
11-May,37,West Bengal,47615,,2063
12-May,38,West Bengal,52622,,2173
13-May,39,West Bengal,57632,,2290
14-May,40,West Bengal,62837,,2377
15-May,41,West Bengal,69543,,2461
16-May,42,West Bengal,77288,,2576
17-May,43,West Bengal,85956,,2677
18-May,44,West Bengal,93570,,2825
19-May,45,West Bengal,102282,,2961
20-May,46,West Bengal,111002,,3103
21-May,47,West Bengal,115244,,3197
22-May,48,West Bengal,120599,,3332
23-May,49,West Bengal,129608,,3459
24-May,50,West Bengal,138824,,3667
25-May,51,West Bengal,148049,,3816
26-May,52,West Bengal,157277,,4009
27-May,53,West Bengal,166513,,4192
28-May,54,West Bengal,175769,,4536
29-May,55,West Bengal,185051,,4813
30-May,56,West Bengal,194397,,5130
31-May,57,West Bengal,203751,,5501
1-Jun,58,West Bengal,213231,,5772
2-Jun,59,West Bengal,222726,,6168
3-Jun,60,West Bengal,232225,,6508
4-Jun,61,West Bengal,241831,,6876
5-Jun,62,West Bengal,251517,,7303
6-Jun,63,West Bengal,261288,,7738
7-Jun,64,West Bengal,271074,,8187
